Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Венгринович,Георгій,Петрович,Чоловіча,1959-08-17,Художник,село Радивилів,"провулок Промислова, буд. 0 кв. 597, Іловайськ, 11140",085 146-91-17,iustyna82@example.net
Запорожець,Аніта,Романівна,Жіноча,2007-05-14,Дипломат,селище Світлодарськ,"провулок Леваневського тупик, буд. 1 кв. 458, П'ятихатки, 16862",036 246-17-99,dzhusklavdiia@example.com
Вдовиченко,Захар,Федорович,Чоловіча,1979-07-02,Локсмайстер,село Моршин,"проспект Азовський, буд. 80, Одеса, 75253",+380 07 722 51 66,irena91@example.com
Сиротенко,Валентина,Федорівна,Жіноча,2000-07-05,Астронавт,селище Броди,"узвіз Ломоносова, буд. 037 кв. 23, Золотоноша, 59113",008 705 29 89,arkadii10@example.com
Шморгун,Пилип,Миколайович,Чоловіча,2006-08-14,Пілот,селище Горлівка,"сквер Строганов міст, буд. 05, Городенка, 84879",+380 53 343-32-23,demydenkoiaroslava@example.net
Пилипенко,Святослав,Миколайович,Чоловіча,2000-11-10,Краєзнавець,село Берегове,"площа Аеропортівський 1-й, буд. 6 кв. 5, Кременець, 83876",007 884 13 26,eprykhodko@example.org
Вергун,Лукʼян,Євгенович,Чоловіча,1951-06-02,Швачка,село Приморськ (Україна),"парк Мінська, буд. 36, Інкерман, 57835",+380 (75) 073-36-94,qiurchyshyn@example.com
Яремчук,Марина,Макарівна,Жіноча,1941-02-18,Слідчий,село Щолкіне,"вулиця Чорноморський 6-й, буд. 474 кв. 21, Бібрка, 50948",290 35 51,tfastenko@example.org
Свистун,Ярослав,Дмитрович,Чоловіча,1973-01-27,Гінеколог,хутір Добромиль,"площа Вчительська, буд. 22 кв. 76, Ковель, 16794",395 97 41,varfolomiiprytula@example.org
Вакарчук,Мартин,Леонідович,Чоловіча,1961-01-31,Ботанік,село Нікополь,"набережна Амбулаторна, буд. 5, Привілля, 72462",011 759-22-26,cbarannyk@example.net
Ярош,Омелян,Євгенович,Чоловіча,2005-03-01,Композитор,хутір Бар,"шосе Вірського, буд. 04, Гуляйполе, 70250",049 930 08 02,veresillia@example.org
Голобородько,Павло,Володимирович,Чоловіча,2006-05-27,Письменник,селище Чорноморськ,"проспект Шкільний аеродром, буд. 1 кв. 57, Моршин, 29097",+380 16 601-59-17,rkhudiak@example.org
Гриценко,Софія,Євгенівна,Жіноча,1964-03-24,Співак,хутір Ковель,"узвіз Флотський 3-й, буд. 56, Зимогір'я, 78564",+380 02 292-86-15,ishchakvalentyn@example.com
Давиденко,Тереза,Олегівна,Жіноча,1976-10-08,Візажист,місто Сорокине,"набережна Профспілкова, буд. 18 кв. 8, Саки , 54478",+380 06 534-89-39,volodymyra90@example.net
Гаврюшенко,Адам,Юрійович,Чоловіча,1946-02-23,Математик,хутір Білогірськ,"парк Десятого квітня, буд. 7 кв. 98, Бахмут, 74162",+380 38 505 13 47,nestor50@example.net
Остапчук,Олекса,Федорович,Чоловіча,1955-05-06,Бібліограф,хутір Вознесенськ,"провулок Регенсбург, буд. 072 кв. 6, Глухів, 83167",+380 42 528-99-07,vasyl43@example.org
Мамчур,Святослав,Федорович,Чоловіча,2007-06-18,Режисер,хутір Підгайці,"узвіз Дерибасівська, буд. 83 кв. 357, Петрово-Красносілля, 10304",516 67 76,marko26@example.com
Атрощенко,Ярослав,Макарович,Чоловіча,1944-10-27,Математик,місто Комарно,"площа Пугачова, буд. 392 кв. 04, Кропивницький, 98203",+380 01 480-57-83,drobakhavasyl@example.com
Євтушенко,Костянтин,Миколайович,Чоловіча,1972-03-25,Сценарист,село Луганськ,"вулиця Венгера, буд. 666 кв. 72, Довжанськ, 68742",+380 55 116-13-69,chumakbohdanna@example.net
Рева,Антон,Степанович,Чоловіча,1989-07-20,Живописець,село Батурин,"сквер Обільний 2-й, буд. 1, Герца, 26098",+380 (71) 172-15-90,bohodar76@example.net
Вівчаренко,Арсен,Макарович,Чоловіча,1998-11-03,Клоун,хутір Богодухів,"парк 411-ї батареї, буд. 253, Південне , 46266",010 994-53-21,andriizasukha@example.net
Гузенко,Захар,Олександрович,Чоловіча,2000-10-17,Няня,село Саки ,"провулок Безіменний, буд. 9, Балаклія, 37634",761 34 26,ustym82@example.net
Андрієнко,Левко,Юрійович,Чоловіча,1945-09-09,Штукатур,хутір Вишгород,"набережна Воронцовський, буд. 2 кв. 861, Старий Самбір, 91291",476 82 89,iakymenkonestor@example.net
Акуленко,Оксана,Олександрівна,Жіноча,1957-01-10,Адвокат,місто Кропивницький,"шосе Героїв прикордонників, буд. 04, Бердичів, 72442",+380 13 717-79-65,arkhypenkoiosyp@example.com
Верховинець,Наталія,Леонідівна,Жіноча,1957-01-28,Соціолог,місто Привілля,"парк Матеріальний 1-й, буд. 4 кв. 70, Свалява, 04417",942-31-94,qiakovenko@example.org
Єременко,Омелян,Володимирович,Чоловіча,1987-11-26,Композитор,хутір Очаків,"провулок Яші Гордієнка, буд. 44, Нова Каховка, 32431",091 711-89-55,chervonenkoaaron@example.net
Давиденко,Богодар,Григорович,Чоловіча,1981-11-22,Астрофізик,місто Монастириська,"вулиця Пересипська 3-тя, буд. 219, Зугрес, 52843",372-73-90,bohuslavalekseienko@example.net
Голобородько,Роман,Іванович,Чоловіча,2007-05-10,Стоматолог,місто Дебальцеве,"парк Чорноморський 11-й, буд. 57, Володимир-Волинський, 03130",+380 (07) 295-22-13,onysym31@example.com
Салій,Олесь,Миколайович,Чоловіча,1945-11-20,Гінеколог,місто Умань,"провулок Олександра Вронського, буд. 021 кв. 827, Шепетівка, 03586",+380 62 866-47-04,shvachkaviktoriia@example.net
Приходько,Артем,Леонідович,Чоловіча,1966-03-02,Астронавт,хутір Овруч,"шосе Академіка Вавилова, буд. 987, Суходільськ, 86829",+380 02 093 35 63,lhuk@example.com
Туркало,Демид,Макарович,Чоловіча,2005-05-20,Патологоанатом,місто Мар'їнка,"набережна Зелена, буд. 44, Тлумач, 51764",+380 42 059 69 65,sheremetartem@example.com
Башполченко,Аврелій,Васильович,Чоловіча,1941-12-26,Різноробочий,селище Першотравенськ,"сквер Колонтаївська, буд. 4, Покровськ, 05682",588 63 60,ruslantelychenko@example.com
Забіла,Артем,Миколайович,Чоловіча,1980-10-10,Соціолог,хутір Заставна,"провулок Штурманська, буд. 6 кв. 7, Чугуїв, 62988",+380 72 046-04-81,cdrozdenko@example.net
Засенко,Ярослава,Степанівна,Жіноча,1985-02-07,Професор,хутір Костопіль,"вулиця Нова, буд. 335 кв. 836, Сновськ, 33977",062 518 75 67,zsvyrydenko@example.com
Ґоляш,Сніжана,Федорівна,Жіноча,1955-12-28,Фольклорист,місто Ланівці,"вулиця Яблочкіної, буд. 388 кв. 38, Миронівка, 12701",013 818 64 74,nlytvyn@example.com
Титаренко,Леопольд,Миколайович,Чоловіча,1974-08-20,Акушер,селище Хоростків,"площа Лінія 51-ша, буд. 140 кв. 2, Переяслав, 35019",+380 (85) 005-90-49,boleslavkhomenko@example.org
Годунок,Азар,Юрійович,Чоловіча,1972-02-02,Педагог,село Ровеньки,"площа Цегельнозаводська, буд. 29, Херсон, 72410",+380 19 277-21-56,ovcharenkoazar@example.net
Верхола,Володимира,Богданівна,Жіноча,2000-06-08,Фізик,селище Апостолове,"шосе Таїрова, буд. 628, Нова Одеса, 34942",+380 96 188-51-33,onysym24@example.org
